tau,x,y,theta,v,omega,v2_plus_omega2
1.002004008016031955e-01,-7.473240269499462074e-02,-6.161571048585627076e-03,2.169740684632477656e-01,-1.547410584327769956e-01,1.405722307155685913e+00,2.000000000000000444e+00
1.022044088176352616e-01,-7.520664264522196329e-02,-6.267211052261168445e-03,2.215787111214707061e-01,-1.420533922985347808e-01,1.407061062547208197e+00,1.999999999999999778e+00
1.042084168336673278e-01,-7.563986403727460117e-02,-6.365806546062393982e-03,2.261875499666225753e-01,-1.293511478859279973e-01,1.408285582025390559e+00,2.000000000000000444e+00
1.062124248496993939e-01,-7.603209790634568588e-02,-6.456973294953019006e-03,2.308002106477477222e-01,-1.166356192075626574e-01,1.409395662094952151e+00,2.000000000000000000e+00
1.082164328657314600e-01,-7.638338227350609244e-02,-6.540327359416381499e-03,2.354163181783791581e-01,-1.039081043179165970e-01,1.410391118043876846e+00,2.000000000000000000e+00
1.102204408817635123e-01,-7.669376213884443461e-02,-6.615485253861918408e-03,2.400354969981995656e-01,-9.116990492404172808e-02,1.411271784043081290e+00,2.000000000000000444e+00
1.122244488977955784e-01,-7.696328947082066441e-02,-6.682064105039627749e-03,2.446573710350124498e-01,-7.842232599341152077e-02,1.412037513236026998e+00,2.000000000000000000e+00
1.142284569138276445e-01,-7.719202319183061933e-02,-6.739681810348487068e-03,2.492815637669896778e-01,-6.566667535921522081e-02,1.412688177818186341e+00,2.000000000000000444e+00
1.162324649298597107e-01,-7.738002915998297426e-02,-6.787957195924659154e-03,2.539076982851628528e-01,-5.290426332340564947e-02,1.413223669106276947e+00,2.000000000000000000e+00
1.182364729458917768e-01,-7.752738014709389947e-02,-6.826510174395330685e-03,2.585353973561242413e-01,-4.013640225780931714e-02,1.413643897597198995e+00,2.000000000000000888e+00
1.202404809619238429e-01,-7.763415581290855627e-02,-6.854961902184187293e-03,2.631642834849038937e-01,-2.736440620360994572e-02,1.413948793016608585e+00,2.000000000000000444e+00
1.222444889779558952e-01,-7.770044267556250328e-02,-6.872934936254848637e-03,2.677939789779884561e-01,-1.458959046952106216e-02,1.414138304357084985e+00,1.999999999999999778e+00
1.242484969939879613e-01,-7.772633407830002727e-02,-6.880053390179029400e-03,2.724241060064483966e-01,-1.813271228959320884e-03,1.414212399905845352e+00,2.000000000000000444e+00
1.262525050100200275e-01,-7.771193015247013225e-02,-6.875943089416800165e-03,2.770542866691381167e-01,1.096323488346056911e-02,1.414171067261980941e+00,2.000000000000000000e+00
1.282565130260520936e-01,-7.765733777682493066e-02,-6.860231725697073235e-03,2.816841430559357540e-01,2.373861117579557228e-02,1.414014313343201268e+00,2.000000000000000444e+00
1.302605210420841597e-01,-7.756267053314884474e-02,-6.832549010387325809e-03,2.863132973109879242e-01,3.651154130268832732e-02,1.413742164382070898e+00,2.000000000000000000e+00
1.322645290581162258e-01,-7.742804865825093918e-02,-6.792526826742607653e-03,2.909413716959245999e-01,4.928070966900919420e-02,1.413354665911751740e+00,2.000000000000000444e+00
1.342685370741482920e-01,-7.725359899235630101e-02,-6.739799380925065239e-03,2.955679886530105382e-01,6.204480183290626838e-02,1.412851882741257281e+00,2.000000000000000000e+00
1.362725450901803581e-01,-7.703945492393617089e-02,-6.674003351686524053e-03,3.001927708681982332e-01,7.480250490794944362e-02,1.412233898920251862e+00,1.999999999999999778e+00
1.382765531062124242e-01,-7.678575633102012465e-02,-6.594778038608128772e-03,3.048153413340488616e-01,8.755250796405075753e-02,1.411500817693424059e+00,1.999999999999999778e+00
1.402805611222444904e-01,-7.649264951903721188e-02,-6.501765508792629183e-03,3.094353234124865848e-01,1.002935024268479525e-01,1.410652761444486814e+00,2.000000000000000444e+00
1.422845691382765287e-01,-7.616028715523633086e-02,-6.394610741906627503e-03,3.140523408973526776e-01,1.130241824752373503e-01,1.409689871629857594e+00,2.000000000000000000e+00
1.442885771543085949e-01,-7.578882819973982443e-02,-6.272961773471931977e-03,3.186660180767260653e-01,1.257432454367495567e-01,1.408612308702090532e+00,2.000000000000000000e+00
1.462925851703406610e-01,-7.537843783328730674e-02,-6.136469836307186995e-03,3.232759797949759095e-01,1.384493921804573202e-01,1.407420252023134033e+00,2.000000000000000444e+00
1.482965931863727271e-01,-7.492928738173028347e-02,-5.984789500022985598e-03,3.278818515145142665e-01,1.511413275071135376e-01,1.406113899767507336e+00,2.000000000000000000e+00
1.503006012024047933e-01,-7.444155423734122312e-02,-5.817578808475937571e-03,3.324832593772149569e-01,1.638177605362198253e-01,1.404693468815491286e+00,1.999999999999999778e+00
1.523046092184368594e-01,-7.391542177700373417e-02,-5.634499415089488233e-03,3.370798302654669509e-01,1.764774050897273683e-01,1.403159194636445006e+00,2.000000000000000888e+00
1.543086172344689255e-01,-7.335107927735375066e-02,-5.435216715951708168e-03,3.416711918628294598e-01,1.891189800720797509e-01,1.401511331162362151e+00,2.000000000000000000e+00
1.563126252505009917e-01,-7.274872182694426537e-02,-5.219399980602855427e-03,3.462569727142573717e-01,2.017412098463080006e-01,1.399750150651803970e+00,2.000000000000000000e+00
1.583166332665330578e-01,-7.210855023550916121e-02,-4.986722480428138100e-03,3.508368022858656121e-01,2.143428246058982078e-01,1.397875943544335309e+00,2.000000000000000444e+00
1.603206412825651239e-01,-7.143077094040428676e-02,-4.736861614573866820e-03,3.554103110242017860e-01,2.269225607421526680e-01,1.395889018305618956e+00,2.000000000000000444e+00
1.623246492985971901e-01,-7.071559591030650294e-02,-4.469499033308029987e-03,3.599771304149964601e-01,2.394791612067735109e-01,1.393789701263322023e+00,2.000000000000000444e+00
1.643286573146292562e-01,-6.996324254625391204e-02,-4.184320758749247512e-03,3.645368930413613318e-01,2.520113758694033090e-01,1.391578336433996865e+00,1.999999999999999778e+00
1.663326653306613223e-01,-6.917393358011288129e-02,-3.881017302891073394e-03,3.690892326414062508e-01,2.645179618698634827e-01,1.389255285341111756e+00,2.000000000000000444e+00
1.683366733466933607e-01,-6.834789697055959623e-02,-3.559283782851709130e-03,3.736337841652462854e-01,2.769976839648383149e-01,1.386820926824410272e+00,2.000000000000000888e+00
1.703406813627254268e-01,-6.748536579666596091e-02,-3.218820033282318149e-03,3.781701838313707431e-01,2.894493148687591333e-01,1.384275656840791902e+00,2.000000000000000000e+00
1.723446893787574929e-01,-6.658657814918196582e-02,-2.859330715870449496e-03,3.826980691823463898e-01,3.018716355886472691e-01,1.381619888256909512e+00,2.000000000000000000e+00
1.743486973947895591e-01,-6.565177701960789314e-02,-2.480525425878205882e-03,3.872170791398288348e-01,3.142634357526892241e-01,1.378854050633683048e+00,2.000000000000000000e+00
1.763527054108216252e-01,-6.468121018715203285e-02,-2.082118795658292280e-03,3.917268540588551562e-01,3.266235139323168668e-01,1.375978590002949753e+00,2.000000000000000000e+00
1.783567134268536913e-01,-6.367513010367081838e-02,-1.663830595094366403e-03,3.962270357813929555e-01,3.389506779575796602e-01,1.372993968636460282e+00,2.000000000000000444e+00
1.803607214428857575e-01,-6.263379377668980286e-02,-1.225385828915584886e-03,4.007172676891209706e-01,3.512437452255976478e-01,1.369900664807450763e+00,2.000000000000000000e+00
1.823647294589178236e-01,-6.155746265060534766e-02,-7.665148308386954094e-04,4.051971947554169340e-01,3.635015430019009064e-01,1.366699172545018159e+00,2.000000000000000000e+00
1.843687374749498897e-01,-6.044640248616785227e-02,-2.869533544945260749e-04,4.096664635965302503e-01,3.757229087144611790e-01,1.363390001381536099e+00,2.000000000000000444e+00
1.863727454909819559e-01,-5.930088323834857567e-02,2.135573389007518782e-04,4.141247225219164552e-01,3.879066902402347194e-01,1.359973676093352513e+00,2.000000000000000444e+00
1.883767535070140220e-01,-5.812117893269288377e-02,7.352703961656665687e-04,4.185716215837121390e-01,4.000517461840427114e-01,1.356450736435016458e+00,2.000000000000000444e+00
1.903807615230460881e-01,-5.690756754026364550e-02,1.278433291097317084e-03,4.230068126253296312e-01,4.121569461496265574e-01,1.352821736867283686e+00,2.000000000000000000e+00
1.923847695390781265e-01,-5.566033085127895796e-02,1.843287746768020562e-03,4.274299493291511820e-01,4.242211710027202765e-01,1.349087246279157659e+00,1.999999999999999778e+00
1.943887775551101926e-01,-5.437975434754900583e-02,2.430069661200173151e-03,4.318406872633041016e-01,4.362433131259968455e-01,1.345247847704226452e+00,2.000000000000000000e+00
1.963927855711422588e-01,-5.306612707381731797e-02,3.039009036441028648e-03,4.362386839274977057e-01,4.482222766657484314e-01,1.341304138031555127e+00,1.999999999999999778e+00
1.983967935871743249e-01,-5.171974150811149001e-02,3.670329911055821015e-03,4.406235987979057467e-01,4.601569777701767228e-01,1.337256727711406024e+00,2.000000000000000444e+00
2.004008016032063910e-01,-5.034089343120903837e-02,4.324250296053842868e-03,4.449950933710770662e-01,4.720463448191732359e-01,1.333106240456048086e+00,2.000000000000000444e+00
2.024048096192384572e-01,-4.892988179532373194e-02,5.000982114258733721e-03,4.493528312068590935e-01,4.838893186454817918e-01,1.328853312935935671e+00,2.000000000000000444e+00
2.044088176352705233e-01,-4.748700859211756053e-02,5.700731143130678864e-03,4.536964779703196449e-01,4.956848527471433563e-01,1.324498594471524182e+00,2.000000000000000444e+00
2.064128256513025894e-01,-4.601257872014329758e-02,6.423696961044771982e-03,4.580257014726526466e-01,5.074319134911372542e-01,1.320042746721000526e+00,2.000000000000000444e+00
2.084168336673346555e-01,-4.450689985182217784e-02,7.170072897026354662e-03,4.623401717110556808e-01,5.191294803081329956e-01,1.315486443364205948e+00,2.000000000000000444e+00
2.104208416833667217e-01,-4.297028230006058602e-02,7.940045983940763677e-03,4.666395609075664752e-01,5.307765458782887080e-01,1.310830369783029248e+00,2.000000000000000000e+00
2.124248496993987878e-01,-4.140303888460904191e-02,8.733796915131573219e-03,4.709235435468480113e-01,5.423721163080312824e-01,1.306075222738547925e+00,2.000000000000000000e+00
2.144288577154308539e-01,-3.980548479826594849e-02,9.551500004498116383e-03,4.751917964129114269e-01,5.539152112977676623e-01,1.301221710045198154e+00,2.000000000000000444e+00
2.164328657314629201e-01,-3.817793747302771629e-02,1.039332314999985400e-02,4.794439986247678309e-01,5.654048643004865315e-01,1.296270550242251129e+00,2.000000000000000000e+00
2.184368737474949584e-01,-3.652071644628578778e-02,1.125942780057193060e-02,4.836798316710004819e-01,5.768401226712179808e-01,1.291222472262876453e+00,2.000000000000000444e+00
2.204408817635270246e-01,-3.483414322716987116e-02,1.214996892643326575e-02,4.878989794432503357e-01,5.882200478073241756e-01,1.286078215101068123e+00,2.000000000000000000e+00
2.224448897795590907e-01,-3.311854116313592972e-02,1.306509499276518188e-02,4.921011282686071908e-01,5.995437152796115887e-01,1.280838527476715338e+00,2.000000000000000444e+00
2.244488977955911568e-01,-3.137423530689532197e-02,1.400494793673604660e-02,4.962859669409026564e-01,6.108102149542576909e-01,1.275504167499085018e+00,2.000000000000000444e+00
2.264529058116232230e-01,-2.960155228378085618e-02,1.496966314784405755e-02,5.004531867508984488e-01,6.220186511055542100e-01,1.270075902329001361e+00,2.000000000000000000e+00
2.284569138276552891e-01,-2.780082015964351755e-02,1.595936945154773079e-02,5.046024815153672405e-01,6.331681425194820578e-01,1.264554507839986019e+00,2.000000000000000444e+00
2.304609218436873552e-01,-2.597236830937216939e-02,1.697418909615081017e-02,5.087335476050630634e-01,6.442578225881391285e-01,1.258940768278631106e+00,2.000000000000000000e+00
2.324649298597194214e-01,-2.411652728612682581e-02,1.801423774290568380e-02,5.128460839715781594e-01,6.552868393950469494e-01,1.253235475924477038e+00,2.000000000000000444e+00
2.344689378757514875e-01,-2.223362869137424092e-02,1.907962445929676371e-02,5.169397921730866097e-01,6.662543557913794823e-01,1.247439430749651246e+00,2.000000000000000000e+00
2.364729458917835536e-01,-2.032400504581278328e-02,2.017045171546288582e-02,5.210143763989734111e-01,6.771595494631590384e-01,1.241553440078537962e+00,2.000000000000000444e+00
2.384769539078156197e-01,-1.838798966127153448e-02,2.128681538371526155e-02,5.250695434933496664e-01,6.880016129894673815e-01,1.235578318247731122e+00,2.000000000000000444e+00
2.404809619238476859e-01,-1.642591651366661493e-02,2.242880474110531958e-02,5.291050029774552188e-01,6.987797538917449591e-01,1.229514886266527718e+00,2.000000000000000000e+00
2.424849699398797520e-01,-1.443812011709562360e-02,2.359650247499451431e-02,5.331204670709511761e-01,7.094931946742382145e-01,1.223363971478212076e+00,2.000000000000000000e+00
2.444889779559117904e-01,-1.242493539914899664e-02,2.478998469157600928e-02,5.371156507121052082e-01,7.201411728556770253e-01,1.217126407222376416e+00,2.000000000000000000e+00
2.464929859719438565e-01,-1.038669757751466485e-02,2.600932092729632897e-02,5.410902715768733939e-01,7.307229409922662011e-01,1.210803032498520615e+00,2.000000000000000444e+00
2.484969939879759226e-01,-8.323742037950786904e-03,2.725457416312272035e-02,5.450440500968826152e-01,7.412377666920795249e-01,1.204394691631168968e+00,2.000000000000000444e+00
2.505010020040079888e-01,-6.236404213698016827e-03,2.852580084160077911e-02,5.489767094763200461e-01,7.516849326209564808e-01,1.197902233936738448e+00,2.000000000000000444e+00
2.525050100200400549e-01,-4.125019466401440640e-03,2.982305088664458440e-02,5.528879757077349577e-01,7.620637365000065833e-01,1.191326513392381825e+00,2.000000000000000444e+00
2.545090180360721210e-01,-1.989922968609340610e-03,3.114636772600030273e-02,5.567775775867594978e-01,7.723734910948301113e-01,1.184668388307033693e+00,2.000000000000000444e+00
2.565130260521041872e-01,1.685504120862661021e-04,3.249578831632260467e-02,5.606452467257572181e-01,7.826135241965715972e-01,1.177928720994875222e+00,2.000000000000000444e+00
2.585170340681362533e-01,2.350066227204821410e-03,3.387134317080188473e-02,5.644907175664058974e-01,7.927831785949325250e-01,1.171108377451427707e+00,2.000000000000000444e+00
2.605210420841683194e-01,4.554290559768137125e-03,3.527305638927884235e-02,5.683137273912253207e-01,8.028818120432655858e-01,1.164208227032485166e+00,2.000000000000000000e+00
2.625250501002003856e-01,6.780890134869481389e-03,3.670094569078195812e-02,5.721140163340583396e-01,8.129087972158874909e-01,1.157229142136084965e+00,2.000000000000000000e+00
2.645290581162324517e-01,9.029532428365814878e-03,3.815502244842211566e-02,5.758913273895158724e-01,8.228635216577476763e-01,1.150171997887711406e+00,2.000000000000000000e+00
2.665330661322645178e-01,1.129988577364064717e-02,3.963529172657773159e-02,5.796454064213973911e-01,8.327453877265960092e-01,1.143037671828921686e+00,2.000000000000000444e+00
2.685370741482965840e-01,1.359161946638752332e-02,4.114175232030282264e-02,5.833760021700972187e-01,8.425538125277968193e-01,1.135827043609578091e+00,2.000000000000000000e+00
2.705410821643286501e-01,1.590440386736668987e-02,4.267439679688962706e-02,5.870828662590099611e-01,8.522882278419404711e-01,1.128540994683863818e+00,2.000000000000000000e+00
2.725450901803607162e-01,1.823791050308998241e-02,4.423321153951669665e-02,5.907657531999466194e-01,8.619480800454113467e-01,1.121180408010249430e+00,2.000000000000000000e+00
2.745490981963927823e-01,2.059181216439156734e-02,4.581817679291280698e-02,5.944244203975753704e-01,8.715328300240667847e-01,1.113746167755580441e+00,2.000000000000000444e+00
2.765531062124248485e-01,2.296578300284462387e-02,4.742926671096642233e-02,5.980586281529004511e-01,8.810419530801942845e-01,1.106239159003439498e+00,2.000000000000000444e+00
2.785571142284569146e-01,2.535949862498661569e-02,4.906644940621021633e-02,6.016681396657935776e-01,8.904749388329112891e-01,1.098660267466937679e+00,2.000000000000000000e+00
2.805611222444889807e-01,2.777263618431830353e-02,5.072968700110964263e-02,6.052527210365922228e-01,8.998312911121782998e-01,1.091010379206078351e+00,2.000000000000000888e+00
2.825651302605209914e-01,3.020487447104402284e-02,5.241893568108440399e-02,6.088121412667804044e-01,9.091105278465947404e-01,1.083290380349833049e+00,2.000000000000000000e+00
2.845691382765530575e-01,3.265589399952373295e-02,5.413414574919178657e-02,6.123461722587678624e-01,9.183121809451563200e-01,1.075501156823064797e+00,2.000000000000000000e+00
2.865731462925851236e-01,3.512537709340833592e-02,5.587526168239986823e-02,6.158545888147822778e-01,9.274357961731435340e-01,1.067643594078420799e+00,2.000000000000000444e+00
2.885771543086171897e-01,3.761300796843460026e-02,5.764222218938020587e-02,6.193371686348928540e-01,9.364809330223300421e-01,1.059718576833314829e+00,2.000000000000000000e+00
2.905811623246492559e-01,4.011847281285593064e-02,5.943496026974814939e-02,6.227936923141812464e-01,9.454471645756836740e-01,1.051726988812115682e+00,2.000000000000000000e+00
2.925851703406813220e-01,4.264145986548917300e-02,6.125340327468008911e-02,6.262239433390767163e-01,9.543340773667413623e-01,1.043669712493646484e+00,2.000000000000000000e+00
2.945891783567133881e-01,4.518165949135929255e-02,6.309747296883692902e-02,6.296277080828734940e-01,9.631412712338496274e-01,1.035547628864092573e+00,2.000000000000000444e+00
2.965931863727454543e-01,4.773876425492631220e-02,6.496708559352341872e-02,6.330047758004486713e-01,9.718683591694456947e-01,1.027361617175417852e+00,2.000000000000000444e+00
2.985971943887775204e-01,5.031246899088101521e-02,6.686215193101358034e-02,6.363549386221976079e-01,9.805149671645710940e-01,1.019112554709370677e+00,2.000000000000000000e+00
3.006012024048095865e-01,5.290247087249815017e-02,6.878257736997271665e-02,6.396779915472060596e-01,9.890807340487992594e-01,1.010801316547168094e+00,1.999999999999999778e+00
3.026052104208416527e-01,5.550846947753808325e-02,7.072826197190736075e-02,6.429737324356782358e-01,9.975653113257657578e-01,1.002428775344926137e+00,2.000000000000000444e+00
3.046092184368737188e-01,5.813016685168993086e-02,7.269910053857486787e-02,6.462419620006385479e-01,1.005968363004486665e+00,9.939958011149110373e-01,2.000000000000000444e+00
3.066132264529057849e-01,6.076726756955126013e-02,7.469498268028545995e-02,6.494824837989268129e-01,1.014289565426653050e+00,9.855032610126726045e-01,2.000000000000000444e+00
